timestamp,inter_arrival,hop_valid,seq_delta,channel_index,payload_length,packet_rate_2s,seq_baseline_count,label
2025-11-24 15:38:18,0.051442,0,1,39,13,39,0,1
2025-11-24 15:38:18,0.051670,0,1,37,13,39,0,1
2025-11-24 15:38:18,0.050304,0,1,37,13,39,0,1
2025-11-24 15:38:18,0.051217,1,1,37,13,39,0,1
2025-11-24 15:38:18,0.050958,0,1,39,13,39,0,1
2025-11-24 15:38:18,0.050944,1,1,37,13,39,0,1
2025-11-24 15:38:18,0.051236,0,1,39,13,39,0,1
2025-11-24 15:38:18,0.051228,0,1,39,13,39,0,1
2025-11-24 15:38:18,0.051378,1,1,38,13,39,0,1
2025-11-24 15:38:18,0.050759,0,1,37,13,39,0,1
2025-11-24 15:38:18,0.051413,1,1,37,13,39,0,1
2025-11-24 15:38:18,0.051438,0,1,38,13,39,0,1
2025-11-24 15:38:18,0.051121,0,1,37,13,39,0,1
2025-11-24 15:38:19,0.051040,0,1,39,13,39,0,1
2025-11-24 15:38:19,0.050874,0,1,37,13,39,0,1
2025-11-24 15:38:19,0.051360,0,1,37,13,39,0,1
2025-11-24 15:38:19,0.051473,0,1,39,13,39,0,1
2025-11-24 15:38:19,0.051399,0,1,38,13,39,0,1
2025-11-24 15:38:19,0.051468,0,1,37,13,39,0,1
2025-11-24 15:38:19,0.051114,0,1,37,13,39,0,1
2025-11-24 15:38:19,0.051359,0,1,37,13,39,0,1
2025-11-24 15:38:19,0.051466,0,1,37,13,39,0,1
2025-11-24 15:38:19,0.051414,1,1,39,13,39,0,1
2025-11-24 15:38:19,0.051251,1,1,37,13,39,0,1
2025-11-24 15:38:19,0.051627,0,1,37,13,39,0,1
2025-11-24 15:38:19,0.077685,1,1,37,13,38,0,1
2025-11-24 15:38:19,0.051379,0,1,39,13,38,0,1
2025-11-24 15:38:19,0.050868,0,1,39,13,38,0,1
2025-11-24 15:38:19,0.050774,0,1,39,13,38,0,1
2025-11-24 15:38:19,0.051302,0,1,37,13,39,0,1
2025-11-24 15:38:19,0.051279,1,1,38,13,39,0,1
